id,parent_id,category,name,coordinates,rating,is_location,is_active
4621887601,4621887600,С,СТРУТИН,,25,True,
4621887602,4621887600,С,ЗАРВАНИЦЯ,,25,True,
4621887603,4621887600,С,ЗОЛОЧІВКА,,25,True,
4621887604,4621887600,С,КОЗАКИ,,25,True,
4621887605,4621887600,С,ЛУКА,,25,True,
4621887609,4621887600,С,КОБИЛЕЧЧИНА,,25,True,
4621887613,4621887600,С,КИЙКІВ,,25,True,
4621888000,4621800000,,ЧЕРВОНЕНСЬКА,,0,False,
4621888001,4621888000,С,ЧЕРВОНЕ,,25,True,
4621888200,4621800000,,ШПИКОЛОСЬКА,,0,False,
4621888201,4621888200,С,ШПИКОЛОСИ,,25,True,
4621888500,4621800000,,ЯСЕНОВЕЦЬКА,,0,False,
4621888501,4621888500,С,ЯСЕНІВЦІ,,25,True,
4621888502,4621888500,С,БОНИШИН,,25,True,
4621888503,4621888500,С,ЗАЛІССЯ,,25,True,
4621888504,4621888500,С,ХИЛЬЧИЦІ,,25,True,
4622100000,4600000000,РН,КАМ'ЯНКА-БУЗЬКИЙ РАЙОН,,0,False,
4622110000,4622100000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ КАМ'ЯНКА-БУЗЬКОГО Р-НУ,,0,False,
4622110100,4622100000,М,КАМ'ЯНКА-БУЗЬКА,,100,True,
4622110101,4622110100,С,ЗАБУЖЖЯ,,25,True,
4622110103,4622110100,С,ТАДАНІ,,25,True,
4622155000,4622100000,,СЕЛИЩА МІСЬКОГО ТИПУ КАМ'ЯНКА-БУЗЬКОГО Р-НУ,,0,False,
4622155300,4622100000,Т,ДОБРОТВІР,,50,True,
4622155400,4622100000,Т,ЗАПИТІВ,,50,True,
4622155600,4622100000,Т,НОВИЙ ЯРИЧІВ,,50,True,
4622180000,4622100000,,СІЛЬРАДИ КАМ'ЯНКА-БУЗЬКОГО Р-НУ,,0,False,
4622180400,4622100000,,БАНЮНИНСЬКА,,0,False,
4622180401,4622180400,С,БАНЮНИН,,25,True,
4622180800,4622100000,,БАТЯТИЦЬКА,,0,False,
4622180801,4622180800,С,БАТЯТИЧІ,,25,True,
4622180802,4622180800,С,ЛИПНИКИ,,25,True,
4622181200,4622100000,,ВЕЛИКОКОЛОДНІВСЬКА,,0,False,
4622181201,4622181200,С,ВЕЛИКЕ КОЛОДНО,,25,True,
4622181202,4622181200,С,НОВИЙ СТАВ,,25,True,
4622181203,4622181200,С,ПЕЧИХВОСТИ,,25,True,
4622181204,4622181200,С,ЧЕСТИНІ,,25,True,
4622181600,4622100000,,ВЕЛИКОСІЛКІВСЬКА,,0,False,
4622181601,4622181600,С,ВЕЛИКОСІЛКИ,,25,True,
4622181602,4622181600,С,МАЛІ НАГІРЦІ,,25,True,
4622181603,4622181600,С,НОВА ЛОДИНА,,25,True,
4622181604,4622181600,С,СОКОЛІВ,,25,True,
4622182000,4622100000,,ВИРІВСЬКА,,0,False,
4622182001,4622182000,С,ВИРІВ,,25,True,
4622182002,4622182000,С,ГОРПИН,,25,True,
4622182003,4622182000,С,ЯКИМІВ,,25,True,
4622182300,4622100000,,ДІДИЛІВСЬКА,,0,False,
4622182301,4622182300,С,ДІДИЛІВ,,25,True,
4622182302,4622182300,С,ВЕЛИКІ ПІДЛІСКИ,,25,True,
4622182303,4622182300,С,ХРЕНІВ,,25,True,
4622182600,4622100000,,ДЕРНІВСЬКА,,0,False,
4622182601,4622182600,С,ДЕРНІВ,,25,True,
4622182602,4622182600,С,ДАЛЬНИЧ,,25,True,
4622182605,4622182600,С,САПІЖАНКА,,25,True,
4622182607,4622182600,С,ТОВМАЧ,,25,True,
4622183000,4622100000,,ЖЕЛДЕЦЬКА,,0,False,
4622183001,4622183000,С,ЖЕЛДЕЦЬ,,25,True,
4622183002,4622183000,С,ВЕРЕНИ,,25,True,
4622183003,4622183000,С,ВИСОКОФЕДОРІВКА,,25,True,
4622183004,4622183000,С,ВОЛЯ-ЖОВТАНЕЦЬКА,,25,True,
4622183005,4622183000,С,КРАСІЧИН,,25,True,
4622183006,4622183000,С,МАЗЯРКА,,25,True,
4622183007,4622183000,С,СОКІЛ,,25,True,
4622183300,4622100000,,ЖОВТАНЕЦЬКА,,0,False,
4622183301,4622183300,С,ЖОВТАНЦІ,,25,True,
4622183302,4622183300,С,ВИХОПНІ,,25,True,
4622183303,4622183300,С,ГРАБОВЕЦЬ,,25,True,
4622183304,4622183300,С,КОЛОДЕНЦІ,,25,True,
4622183305,4622183300,С,СТАВНИКИ,,25,True,
4622183500,4622100000,,ЗУБІВМОСТІВСЬКА,,0,False,
4622183501,4622183500,С,ЗУБІВ МІСТ,,25,True,
4622183503,4622183500,С,ГРУШКА,,25,True,
4622183506,4622183500,С,ОБИДІВ,,25,True,
4622183507,4622183500,С,РОЖАНКА,,25,True,
4622183509,4622183500,С,ЯГІДНЯ,,25,True,
4622184600,4622100000,,НЕЗНАНІВСЬКА,,0,False,
4622184601,4622184600,С,НЕЗНАНІВ,,25,True,
4622184602,4622184600,С,ГРЯДА,,25,True,
4622184603,4622184600,С,МАЗЯРНЯ-КАРАНСЬКА,,25,True,
4622184700,4622100000,,НЕСЛУХІВСЬКА,,0,False,
4622184701,4622184700,С,НЕСЛУХІВ,,25,True,
4622184800,4622100000,,ПОЛОНИЧНІВСЬКА,,0,False,
4622184801,4622184800,С,ПОЛОНИЧНА,,25,True,
4622184900,4622100000,,ПРИБУЖАНІВСЬКА,,0,False,
4622184901,4622184900,С,ПРИБУЖАНИ,,25,True,
4622184903,4622184900,С,ГАЙОК,,25,True,
4622184907,4622184900,С,РУДА,,25,True,
4622184908,4622184900,С,РУДА-СІЛЕЦЬКА,,25,True,
4622185200,4622100000,,РЕМЕНІВСЬКА,,0,False,
4622185201,4622185200,С,РЕМЕНІВ,,25,True,
4622185202,4622185200,С,ВИСЛОБОКИ,,25,True,
4622185600,4622100000,,СІЛЕЦЬКА,,0,False,
4622185601,4622185600,С,СІЛЕЦЬ,,25,True,
4622185602,4622185600,С,ДОЛИНИ,,25,True,
4622185603,4622185600,С,ПЕРЕКАЛКИ,,25,True,
4622185604,4622185600,С,ТАРТАК,,25,True,
4622185605,4622185600,С,ТИЧОК,,25,True,
4622185900,4622100000,,СТАРОДОБРОТВІРСЬКА,,0,False,
4622185901,4622185900,С,СТАРИЙ ДОБРОТВІР,,25,True,
4622185907,4622185900,С,ДОЛИНИ,,25,True,
4622185909,4622185900,С,КОЗАКИ,,25,True,
4622185911,4622185900,С,КОШАКОВСЬКІ,,25,True,
4622185913,4622185900,С,МАЇКИ,,25,True,
4622185915,4622185900,С,МАТЯШІ,,25,True,
4622185917,4622185900,С,РОГАЛІ,,25,True,
4622185919,4622185900,С,РОКЕТИ,,25,True,
4622185921,4622185900,С,СТРИГАНКА,,25,True,
4622185923,4622185900,С,ТИШИЦЯ,,25,True,
4622186200,4622100000,,СТАРОЯРИЧІВСЬКА,,0,False,
4622186201,4622186200,С,СТАРИЙ ЯРИЧІВ,,25,True,
4622186202,4622186200,С,КУКЕЗІВ,,25,True,
4622186203,4622186200,С,РУДАНЦІ,,25,True,
4622186204,4622186200,С,ЦЕПЕРІВ,,25,True,
4622186600,4622100000,,СТРЕПТІВСЬКА,,0,False,
4622186601,4622186600,С,СТРЕПТІВ,,25,True,
4622186602,4622186600,С,ДЕРЕВЛЯНИ,,25,True,
4622186603,4622186600,С,СПАС,,25,True,
4622186604,4622186600,С,ЯМНЕ,,25,True,
4622188000,4622100000,,УБИНІВСЬКА,,0,False,
4622188001,4622188000,С,УБИНІ,,25,True,
4622400000,4600000000,РН,МОСТИСЬКИЙ РАЙОН,,0,False,
4622410000,4622400000,,МІСТА РАЙОННОГО ПІДПОРЯДКУВАННЯ МОСТИСЬКОГО Р-НУ,,0,False,
4622410100,4622400000,М,МОСТИСЬКА,,100,True,
4622410500,4622400000,М,СУДОВА ВИШНЯ,,100,True,
4622410501,4622410500,С,БОРТЯТИН,,25,True,
4622410502,4622410500,С,ВОЛОСТКІВ,,25,True,
